Constituency,Winner,Party,Votes,Margin
ADOOR,ADVOCATE C V SANTHAKUMAR,Indian National Congress,,10332
ALAPPUZHA,A.D THOMAS,Indian National Congress,,21015
ALATHUR,T M SASI,Communist Party of India (Marxist),,8553
ALUVA,ANWAR SADATH,Indian National Congress,,29143
AMBALAPPUZHA,G.SUDHAKARAN,Independent,,27935
ANGAMALY,ROJI M JOHN,Indian National Congress,,37008
ARANMULA,ABIN VARKEY KODIYATTU,Indian National Congress,,18985
AROOR,ADV. SHANIMOL OSMAN,Indian National Congress,,9324
ARUVIKKARA,ADV. G. STEEPHEN,Communist Party of India (Marxist),,2843
ATTINGAL,O.S AMBIKA,Communist Party of India (Marxist),,13375
AZHIKODE,K. V. SUMESH,Communist Party of India (Marxist),,349
BALUSSERI,V.T. SOORAJ,Indian National Congress,,16980
BEYPORE,P.A MOHAMED RIYAS,Communist Party of India (Marxist),,7487
CHADAYAMANGALAM,M. M. NASEER,Indian National Congress,,7486
CHALAKUDY,SANEESHKUMAR JOSEPH,Indian National Congress,,23156
CHANGANASSERY,VINU JOB KUZHIMANNIL,Kerala Congress,,8368
CHATHANNOOR,B.B.GOPAKUMAR,Bharatiya Janata Party,,4398
CHAVARA,SHIBU BABY JOHN,Revolutionary Socialist Party,,18573
CHELAKKARA,U R PRADEEP,Communist Party of India (Marxist),,29386
CHENGANNUR,SAJI CHERIAN,Communist Party of India (Marxist),,10292
CHERTHALA,P. PRASAD,Communist Party of India,,14489
CHIRAYINKEEZHU,RAMYA HARIDAS,Indian National Congress,,1422
CHITTUR,ADV. SUMESH ACHUTHAN,Indian National Congress,,6510
DEVIKULAM,F. RAJA,Indian National Congress,,5233
DHARMADAM,PINARAYI VIJAYAN,Communist Party of India (Marxist),,19247
ELATHUR,ADV.VIDYA BALAKRISHNAN,Indian National Congress,,12162
ERANAKULAM,T.J VINOD,Indian National Congress,,36163
ERAVIPURAM,ADV.VISHNU MOHAN,Revolutionary Socialist Party,,8803
ERNAD,P.K.BASHEER,Indian Union Muslim League,,41289
ETTUMANOOR,NATTAKOM SURESH,Indian National Congress,,19752
GURUVAYOOR,N. K. AKBAR,Communist Party of India (Marxist),,1998
HARIPAD,RAMESH CHENNITHALA,Indian National Congress,,23377
IDUKKI,ROY K PAULOSE,Indian National Congress,,23822
IRIKKUR,ADV. SAJEEV JOSEPH,Indian National Congress,,42426
IRINJALAKUDA,ADV. THOMAS UNNIYADAN,Kerala Congress,,10212
KADUTHURUTHY,ADV.MONS JOSEPH,Kerala Congress,,31300
KAIPAMANGALAM,K.K. VALSARAJ,Communist Party of India,,9944
KALAMASSERY,ADV. V E ABDUL GAFOOR,Indian Union Muslim League,,16312
KALLIASSERI,M.VIJIN,Communist Party of India (Marxist),,18433
KALPETTA,ADV. T SIDDIQUE,Indian National Congress,,45031
KANHANGAD,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,,15316
KANJIRAPPALLY,RONY K BABY,Indian National Congress,,5772
KANNUR,ADV.T.O. MOHANAN,Indian National Congress,,18551
